text,mood
I feel very happy today,happy
This is amazing and fun,happy
I am feeling low and depressed,sad
Life feels pointless,sad
I am angry about everything,angry
This is so frustrating,angry
I want a romantic movie,romantic
Feeling love and warmth,romantic
I am bored and tired,bored
Nothing interesting to do,bored
I am stressed from work,stressed
Too much pressure and tension,stressed
I am excited for tonight,excited
This is thrilling,excited
i feel happy and energetic,happy
today is a great day,happy
everything feels positive,happy
i am smiling a lot today,happy

i feel sad and empty,sad
i feel like crying,sad
nothing feels right,sad
i am heartbroken,sad

i am angry and frustrated,angry
this makes me furious,angry
i hate this situation,angry
i am really pissed off,angry

i am in love,romantic
i want something romantic,romantic
feeling warm and affectionate,romantic
missing someone i love,romantic

work pressure is killing me,stressed
i feel stressed and anxious,stressed
too much tension today,stressed
i need to relax,stressed

i feel lonely,lonely
i miss my partner,lonely
i broke up recently,lonely
no one is there for me,lonely

i am bored, bored
nothing interesting to do,bored
i am tired of everything,bored
feels dull and slow,bored

i am excited about tonight,excited
this is thrilling,excited
cant wait for this,excited
feeling pumped,excited

i broke up with my girlfriend,lonely
we ended our relationship,lonely
my relationship is over,lonely
she left me,lonely
i feel alone after breakup,lonely
